"","ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","MntWines","MntMeatProducts","MntFishProducts","MntSweetProducts","NumWebPurchases","NumStorePurchases"
"59",8557,1982,"College","Single",NA,1,0,11,22,2,2,2,3
"60",8375,1968,"PhD","Married",55954,0,1,447,28,0,0,8,6
"61",6853,1982,"Master","Single",75777,0,0,712,538,69,13,3,11
"62",3076,1975,"College","Together",66653,1,1,452,102,16,18,4,12
"63",1012,1952,"College","Single",61823,0,1,523,134,37,14,8,10
"64",6518,1951,"PhD","Widow",67680,0,1,546,48,0,6,7,8
"65",4137,1948,"College","Together",70666,0,0,398,367,119,122,7,4
"66",8082,1971,"College","Married",25721,1,0,1,6,3,6,1,2
"67",1386,1967,"College","Together",32474,1,1,10,1,0,0,1,2
"68",9369,1979,"Some college","Single",88194,0,1,688,309,201,24,11,10
"69",4477,1958,"College","Together",69096,0,1,247,159,7,82,5,10
"70",1357,1970,"College","Together",74854,1,2,856,487,58,29,2,5
"71",1402,1954,"Master","Married",66991,0,0,496,460,189,60,4,6
"72",10629,1973,"Some college","Married",NA,1,0,25,43,17,4,3,3
"73",6312,1959,"College","Married",65031,0,1,258,291,84,37,10,13
"74",8132,1975,"PhD","Married",60631,1,1,565,65,0,6,9,8
"75",1050,1952,"College","Married",28332,0,0,14,13,4,15,2,4
"76",5846,1977,"College","Divorced",40246,1,0,2,6,2,1,1,2
"77",1859,1972,"Master","Married",75251,0,0,721,925,97,18,7,5
"78",7503,1976,"College","Single",75825,0,0,1032,779,137,105,5,9
"79",10401,1976,"Some college","Together",26326,0,0,1,5,0,3,0,3
"80",1618,1965,"College","Together",56046,0,0,577,64,0,0,10,8
"81",3332,1985,"College","Single",29760,1,0,64,68,7,5,3,4
"82",2261,1969,"College","Married",26304,1,0,4,5,2,0,1,2
"83",5346,1973,"Some college","Married",23559,1,0,25,19,7,0,3,3
"84",4119,1963,"Master","Together",38620,0,0,112,44,34,22,2,3
"85",535,1987,"College","Divorced",81361,0,0,163,424,27,65,3,13
"86",5268,1960,"College","Married",29440,1,1,17,14,10,4,1,4
"87",273,1970,"Master","Married",36138,1,1,130,16,0,0,3,4
"88",4452,1957,"College","Single",50388,0,1,292,37,0,3,6,6
"89",8504,1973,"College","Married",79593,0,0,350,568,110,133,5,7
"90",771,1967,"College","Together",54178,0,1,135,39,4,0,2,5
"91",8996,1957,"PhD","Married",NA,2,1,230,192,49,37,7,8
"92",9235,1957,"College","Single",NA,1,1,7,8,2,0,1,2
"93",5798,1973,"Master","Together",NA,0,0,445,359,98,28,2,8
"94",11178,1972,"Master","Single",42394,1,0,15,10,0,1,1,3
"95",2230,1970,"PhD","Married",23626,1,0,27,14,0,0,3,3
"96",7516,1983,"College","Married",30096,1,0,5,11,12,5,2,3
"97",7247,1960,"College","Widow",47916,0,1,505,26,0,0,7,6
"98",11100,1972,"College","Divorced",51813,1,1,51,7,0,1,2,3
"99",4646,1951,"Some college","Married",78497,0,0,207,447,75,0,5,12
"100",3037,1983,"PhD","Married",50150,0,0,135,92,65,61,5,7
"101",1473,1960,"Some college","Single",47823,0,1,53,5,2,1,2,3
"102",1016,1959,"PhD","Single",34554,0,1,41,6,2,0,2,3
"103",4518,1979,"College","Together",85693,0,1,386,183,185,132,9,11
"104",9370,1945,"PhD","Married",65846,0,0,562,276,80,40,6,6
"105",8908,1959,"College","Married",87195,0,0,217,690,50,26,3,5
"106",8373,1979,"High school","Together",24594,1,0,1,6,10,0,1,3
"107",7533,1964,"College","Married",49096,1,1,144,32,2,1,4,4
"108",2683,1969,"College","Married",52413,0,2,295,271,75,98,6,12
"109",3629,1978,"College","Single",38557,1,0,76,31,4,4,3,3
"110",10991,1960,"Master","Married",89058,0,0,454,106,31,22,5,4
"111",5077,1979,"College","Together",77298,0,1,425,292,23,35,6,11
"112",7431,1991,"PhD","Single",68126,0,0,1332,311,23,51,7,5
"113",3267,1963,"Master","Together",57288,0,1,527,21,0,0,8,8
"114",999,1991,"College","Single",86037,0,0,490,125,29,20,6,11
"115",9215,1980,"PhD","Married",43974,1,0,378,101,0,0,6,6
"116",2286,1962,"College","Single",50785,1,1,64,21,0,1,2,3
"117",1592,1970,"College","Married",90765,0,0,547,812,151,82,4,5
"118",367,1978,"Some college","Married",36550,1,0,47,94,123,103,9,5
"119",5234,1967,"Some college","Together",30753,1,1,12,25,0,9,1,3
"120",9862,1969,"College","Together",21918,1,0,1,7,11,5,2,3
"121",9805,1953,"Master","Together",56129,0,1,320,133,39,72,6,10
"122",6205,1967,"Master","Single",32557,1,0,34,29,0,4,2,3
"123",8442,1985,"Master","Married",19510,2,0,9,7,3,4,1,3
"124",7386,1976,"College","Divorced",30992,1,0,17,14,7,3,1,3
"125",7215,1983,"College","Single",101970,0,0,722,102,44,72,6,13
"126",1491,1965,"Some college","Together",71488,0,0,162,124,40,28,3,7
"127",11071,1984,"College","Single",79607,0,0,450,951,173,0,3,6
"128",3381,1953,"Master","Married",54348,1,1,70,16,0,0,2,4
"129",8268,1961,"PhD","Married",NA,0,1,352,27,10,0,6,7
"130",11051,1956,"PhD","Together",77376,1,1,492,110,16,12,6,10
"131",8026,1952,"College","Married",62998,0,1,120,73,65,89,5,5
"132",433,1958,"Master","Alone",61331,1,1,534,47,0,5,11,6
"133",9597,1969,"College","Married",73448,0,0,236,189,23,41,7,9
"134",1295,1963,"College","Married",NA,0,1,231,196,38,71,6,7
"135",5290,1964,"PhD","Married",41551,1,1,220,33,3,0,5,5
"136",1685,1967,"PhD","Together",62981,0,0,796,590,38,44,4,13
"137",5342,1976,"High school","Divorced",9548,1,0,0,3,10,6,1,3
"138",9579,1959,"PhD","Married",33762,2,1,53,34,2,0,2,2
"139",7660,1973,"PhD","Alone",35860,1,1,15,8,4,2,1,2
"140",1461,1965,"PhD","Divorced",36921,1,1,17,12,3,1,2,3
"141",821,1992,"Master","Single",92859,0,0,962,921,52,61,5,12
"142",11084,1976,"Master","Together",65104,0,1,738,232,13,20,3,7
"143",8690,1962,"College","Married",86111,0,0,399,756,36,40,5,10
"144",2937,1974,"PhD","Single",68352,0,1,614,132,43,33,8,9
"145",9701,1988,"College","Together",41883,1,0,32,41,73,16,4,3
"146",9949,1976,"College","Married",59809,0,2,598,141,32,41,3,6
"147",10837,1975,"College","Married",23957,1,0,2,18,20,11,2,3
"148",3120,1981,"College","Together",38547,1,0,6,10,0,1,1,2
"149",5885,1973,"Some college","Married",35688,2,1,73,90,12,1,4,4
"150",4050,1966,"Master","Married",49605,0,0,42,29,12,20,2,4
"151",3830,1953,"Master","Married",59354,0,2,295,78,39,13,4,7
"152",7987,1969,"College","Married",65747,0,1,346,48,23,13,8,6
"153",7798,1972,"Some college","Together",46344,0,1,233,57,8,20,7,5
"154",92,1988,"College","Alone",34176,1,0,5,24,19,14,3,4
"155",7055,1952,"PhD","Together",61010,0,1,888,57,0,0,8,11
"156",10240,1949,"College","Together",69372,0,0,997,269,34,13,10,6
"157",3025,1958,"College","Single",49967,0,1,212,69,4,12,6,5
"158",9283,1978,"College","Single",60199,1,2,8,7,2,0,0,3
"159",9970,1977,"College","Together",55375,0,1,42,57,10,28,1,6
"160",2730,1955,"College","Single",80317,0,0,536,387,149,91,3,10
"161",2795,1958,"Master","Single",30523,2,1,5,3,0,0,1,2
"162",9260,1945,"PhD","Married",70356,0,0,1349,249,43,16,10,9
"163",8182,1984,"College","Married",23228,1,0,53,49,7,4,3,4
"164",10095,1975,"PhD","Divorced",74165,0,0,1001,240,16,12,5,10
"165",8475,1973,"PhD","Married",157243,0,1,20,1582,1,2,0,0
"166",4370,1966,"College","Together",43482,2,1,18,32,6,3,2,4
"167",10573,1953,"College","Divorced",62551,0,0,125,98,134,21,6,4
"168",3712,1959,"College","Divorced",52332,0,0,212,33,7,0,3,6
"169",6637,1988,"College","Single",66951,0,0,277,305,173,76,3,7
"170",3152,1957,"College","Together",26091,1,1,15,19,8,17,2,3
"171",5610,1965,"College","Together",33456,1,1,7,10,8,1,1,3
"172",6460,1982,"College","Married",28718,1,0,12,6,11,8,2,3
"173",1349,1970,"College","Married",50447,2,0,85,24,2,3,3,3
"174",1880,1959,"PhD","Together",53537,1,1,81,6,0,0,2,3
"175",641,1967,"College","Single",52074,0,1,59,12,0,0,2,2
"176",8717,1975,"PhD","Married",80427,0,1,1149,449,69,71,11,8
"177",10314,1948,"PhD","Married",83837,0,0,847,119,86,89,9,5
"178",10854,1970,"PhD","Married",38853,1,1,29,14,0,0,2,3
"179",10492,1959,"College","Together",38285,2,1,2,5,2,0,0,3
"180",6935,1951,"Some college","Married",78497,0,0,207,447,75,0,5,12
"181",7698,1976,"PhD","Married",51650,0,1,152,22,2,5,4,4
"182",3559,1988,"Some college","Married",16248,1,0,12,10,3,12,2,3
"183",10562,1946,"Master","Married",66835,0,0,620,195,34,17,6,13
"184",10796,1984,"Master","Married",30477,1,0,47,6,0,0,1,3
"185",2563,1961,"High school","Married",28249,0,0,1,7,2,14,2,3
"186",3518,1983,"College","Married",25271,1,0,10,18,10,4,1,2
"187",5823,1970,"PhD","Single",32303,0,1,35,2,0,0,1,4
"188",3934,1966,"College","Married",61286,0,1,356,107,19,9,7,8
"189",6982,1976,"College","Married",74068,0,0,783,537,140,76,4,9
"190",6431,1964,"PhD","Married",45759,1,1,42,18,3,0,2,3
"191",9733,1978,"High school","Together",24882,1,0,1,10,29,0,1,2
"192",5602,1989,"PhD","Together",66973,0,0,466,432,147,113,8,12
"193",7829,1900,"Some college","Divorced",36640,1,0,15,8,7,4,2,2
"194",1324,1988,"College","Married",38872,1,0,23,21,3,19,3,3
"195",326,1973,"College","Married",51148,1,1,235,45,8,9,5,6
"196",7224,1977,"College","Married",31353,1,1,10,10,3,1,1,2
"197",6999,1980,"Master","Married",69661,0,0,656,106,32,16,7,12
"198",9938,1954,"College","Married",80067,0,0,519,813,27,173,4,6
"199",6422,1954,"College","Married",86718,0,0,344,482,50,33,5,5
"200",3182,1973,"PhD","Single",46854,1,1,96,79,7,1,5,3
